"","Year","State","Label","Population.16.years.and.over","In.labor.force","Employed","Unemployed","Armed.Forces","Not.in.labor.force","Unemployment.Rate","Females.16.years.and.over","Females.in.Labor.Force","Females.Employed","Agriculture..forestry..fishing.and.hunting..and.mining","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing..and.utilities","Information","Finance.and.insurance..and.real.estate.and.rental.and.leasing","Professional..scientific..and.management..and.administrative.and.waste.management.services","Educational.services..and.health.care.and.social.assistance","Arts..entertainment..and.recreation..and.accommodation.and.food.services","Other.services..except.public.administration","Public.administration","Total.households","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..24.999","X.25.000.to..34.999","X.35.000.to..49.999","X.50.000.to..74.999","X.75.000.to..99.999","X.100.000.to..149.999","X.150.000.to..199.999","X.200.000.or.more","Median.household.income..dollars.","Mean.household.income..dollars.","Enrollment","Above.Or.Below.US.Mean.Income","total_enrollment"
"138",2014,"New Hampshire","Percent","1,066,757","69.7%","64.2%","5.4%","0.1%","30.3%",7.8,"546,719","65.1%","60.6%","0.9%","7.0%","12.5%","3.2%","13.6%","3.8%","1.9%","6.4%","9.9%","24.8%","8.1%","4.2%","3.8%","515,431","4.7%","4.0%","8.8%","9.2%","14.2%","19.3%","14.3%","15.5%","5.6%","4.5%","(X)",NA,123508,"",19973392
"139",2014,"Kansas","Estimate","2,213,226","1,504,982","1,373,030","118,195","13,757","708,244",NA,"1,126,187","716,095","661,843","51,611","86,373","169,070","37,236","158,359","62,080","31,347","82,353","113,743","341,622","111,365","60,731","67,140","1,101,658","76,680","63,936","129,456","126,623","170,644","219,061","131,904","119,474","34,592","29,288","48,257",63094,219994,"Below",19973392
"140",2014,"Kansas","Percent","2,213,226","68.0%","62.0%","5.3%","0.6%","32.0%",7.9,"1,126,187","63.6%","58.8%","3.8%","6.3%","12.3%","2.7%","11.5%","4.5%","2.3%","6.0%","8.3%","24.9%","8.1%","4.4%","4.9%","1,101,658","7.0%","5.8%","11.8%","11.5%","15.5%","19.9%","12.0%","10.8%","3.1%","2.7%","(X)",NA,219994,"",19973392
"141",2014,"Arkansas","Percent","2,290,670","60.4%","54.4%","5.8%","0.3%","39.6%",9.6,"1,181,803","56.0%","50.9%","3.7%","6.5%","13.9%","2.5%","13.3%","5.5%","1.6%","4.4%","6.8%","23.7%","8.1%","4.9%","5.1%","1,114,902","9.8%","7.7%","14.8%","13.7%","15.7%","17.1%","9.4%","7.8%","2.2%","1.8%","(X)",NA,168402,"",19973392
"142",2014,"Arkansas","Estimate","2,290,670","1,384,144","1,245,328","132,106","6,710","906,526",NA,"1,181,803","662,243","600,997","46,213","80,948","172,902","30,850","165,226","68,539","20,269","54,241","84,220","295,592","101,430","61,268","63,630","1,114,902","109,620","85,729","165,419","152,778","174,772","191,106","104,649","87,209","24,066","19,554","38,307",52382,168402,"Below",19973392
"143",2014,"New Jersey","Estimate","6,987,107","4,653,750","4,143,877","503,128","6,745","2,333,357",NA,"3,628,977","2,205,678","1,976,807","13,819","235,211","374,066","146,244","453,480","235,802","123,906","370,306","508,215","968,873","329,798","187,140","197,017","3,172,421","174,342","130,977","270,609","256,073","353,152","541,530","414,452","526,854","246,604","257,828","67,681",90882,423759,"Above",19973392
"144",2014,"New Jersey","Percent","6,987,107","66.6%","59.3%","7.2%","0.1%","33.4%",10.8,"3,628,977","60.8%","54.5%","0.3%","5.7%","9.0%","3.5%","10.9%","5.7%","3.0%","8.9%","12.3%","23.4%","8.0%","4.5%","4.8%","3,172,421","5.5%","4.1%","8.5%","8.1%","11.1%","17.1%","13.1%","16.6%","7.8%","8.1%","(X)",NA,423759,"",19973392
"145",2014,"Kentucky","Percent","3,437,562","60.3%","52.8%","6.6%","0.9%","39.7%",11.2,"1,766,401","55.4%","49.6%","3.2%","6.0%","13.2%","2.7%","12.3%","5.6%","2.0%","5.3%","7.6%","24.5%","8.3%","4.9%","4.6%","1,684,348","10.3%","8.1%","14.0%","12.2%","14.9%","17.5%","10.4%","8.4%","2.3%","2.0%","(X)",NA,255722,"",19973392
"146",2014,"Kentucky","Estimate","3,437,562","2,073,873","1,815,971","228,045","29,857","1,363,689",NA,"1,766,401","978,756","876,292","57,821","108,091","238,829","48,372","222,689","102,485","36,290","96,678","138,245","444,729","149,841","88,762","83,139","1,684,348","173,707","136,790","236,003","205,138","250,298","294,286","175,271","141,416","38,069","33,370","40,062",54320,255722,"Below",19973392
"147",2014,"Mississippi","Estimate","2,302,345","1,352,282","1,175,203","165,085","11,994","950,063",NA,"1,202,319","652,802","571,684","32,868","76,662","151,301","33,039","137,519","65,902","19,575","52,896","69,768","289,487","113,704","62,452","70,030","1,079,999","123,082","95,296","165,276","130,225","161,312","179,948","106,652","79,617","20,460","18,131","36,851",50591,174183,"Below",19973392
"148",2014,"Mississippi","Percent","2,302,345","58.7%","51.0%","7.2%","0.5%","41.3%",12.3,"1,202,319","54.3%","47.5%","2.8%","6.5%","12.9%","2.8%","11.7%","5.6%","1.7%","4.5%","5.9%","24.6%","9.7%","5.3%","6.0%","1,079,999","11.4%","8.8%","15.3%","12.1%","14.9%","16.7%","9.9%","7.4%","1.9%","1.7%","(X)",NA,174183,"",19973392
"149",2014,"New Mexico","Percent","1,605,996","60.2%","54.1%","5.7%","0.5%","39.8%",9.5,"819,035","55.2%","50.2%","3.7%","7.5%","4.7%","2.0%","12.1%","4.3%","1.8%","4.2%","10.8%","24.7%","10.6%","4.6%","9.0%","765,183","9.7%","6.6%","13.7%","12.2%","14.8%","17.3%","10.6%","9.8%","3.1%","2.3%","(X)",NA,138248,"",19973392
"150",2014,"New Mexico","Estimate","1,605,996","967,128","868,276","90,942","7,910","638,868",NA,"819,035","451,809","411,374","32,546","65,003","41,001","17,164","104,820","37,624","15,541","36,470","93,837","214,071","91,875","40,361","77,963","765,183","74,028","50,851","104,991","93,197","113,097","132,321","80,819","74,936","23,620","17,323","42,090",57655,138248,"Below",19973392
"151",2014,"Louisiana","Estimate","3,550,438","2,203,490","1,967,523","220,155","15,812","1,346,948",NA,"1,831,931","1,052,743","952,758","83,488","157,937","162,768","54,066","229,527","103,509","27,728","107,939","156,625","470,710","191,026","104,464","117,736","1,689,822","165,644","127,060","230,485","185,015","243,172","287,502","184,188","171,315","50,498","44,943","42,505",59116,245305,"Below",19973392
"152",2014,"Louisiana","Percent","3,550,438","62.1%","55.4%","6.2%","0.4%","37.9%",10.1,"1,831,931","57.5%","52.0%","4.2%","8.0%","8.3%","2.7%","11.7%","5.3%","1.4%","5.5%","8.0%","23.9%","9.7%","5.3%","6.0%","1,689,822","9.8%","7.5%","13.6%","10.9%","14.4%","17.0%","10.9%","10.1%","3.0%","2.7%","(X)",NA,245305,"",19973392
"153",2014,"Missouri","Percent","4,746,821","64.4%","57.6%","6.4%","0.5%","35.6%",10,"2,452,581","60.5%","55.2%","1.7%","5.9%","11.3%","2.9%","12.1%","5.1%","2.3%","7.0%","8.8%","24.2%","9.1%","4.7%","4.9%","2,350,628","8.5%","6.5%","12.8%","11.8%","15.5%","18.6%","11.1%","10.0%","2.7%","2.5%","(X)",NA,409999,"",19973392
"154",2014,"Missouri","Estimate","4,746,821","3,059,239","2,733,876","302,270","23,093","1,687,582",NA,"2,452,581","1,484,793","1,353,698","47,689","161,710","309,768","78,608","330,191","139,157","64,091","190,905","240,638","660,567","248,691","129,080","132,781","2,350,628","198,773","153,514","301,253","277,413","363,710","437,371","260,738","235,283","63,833","58,740","44,301",59525,409999,"Below",19973392
"155",2014,"New York","Percent","15,615,773","63.5%","57.1%","6.2%","0.2%","36.5%",9.9,"8,160,137","58.5%","53.1%","0.6%","5.6%","6.7%","2.6%","10.7%","5.2%","2.9%","8.3%","11.0%","27.6%","8.7%","5.2%","4.9%","7,196,427","8.2%","5.4%","10.5%","9.4%","12.8%","17.1%","11.8%","13.4%","5.5%","5.9%","(X)",NA,1285406,"",19973392
"156",2014,"New York","Estimate","15,615,773","9,912,749","8,913,640","974,802","24,307","5,703,024",NA,"8,160,137","4,777,005","4,337,081","57,713","502,090","600,607","233,847","957,810","459,582","255,604","738,131","977,046","2,457,616","771,535","465,602","436,457","7,196,427","590,397","386,574","758,223","676,051","918,960","1,231,711","848,756","966,812","395,091","423,852","54,148",78726,1285406,"Above",19973392
"157",2014,"Maine","Percent","1,088,605","64.5%","58.9%","5.3%","0.2%","35.5%",8.3,"563,193","61.1%","57.1%","2.4%","6.7%","9.2%","2.7%","13.1%","3.8%","1.9%","6.2%","8.9%","28.2%","8.3%","4.3%","4.4%","545,417","7.1%","7.0%","12.5%","11.6%","15.4%","20.0%","11.9%","9.8%","2.8%","2.0%","(X)",NA,71719,"",19973392
"158",2014,"Maine","Estimate","1,088,605","701,948","641,665","58,162","2,121","386,657",NA,"563,193","344,360","321,436","15,315","42,829","59,100","17,396","83,997","24,250","12,364","39,599","56,888","180,987","53,057","27,603","28,280","545,417","38,765","38,211","68,294","63,030","83,914","108,927","64,643","53,256","15,467","10,910","45,815",59300,71719,"Below",19973392
"159",2014,"Montana","Estimate","794,804","509,081","467,674","38,000","3,407","285,723",NA,"397,132","239,647","225,739","33,141","37,818","20,699","12,266","55,184","24,503","8,638","26,254","37,760","110,281","50,139","20,671","30,320","402,747","27,753","28,179","56,201","52,408","64,375","74,320","47,058","35,895","9,312","7,246","42,666",56266,50799,"Below",19973392
"160",2014,"Montana","Percent","794,804","64.1%","58.8%","4.8%","0.4%","35.9%",7.5,"397,132","60.3%","56.8%","7.1%","8.1%","4.4%","2.6%","11.8%","5.2%","1.8%","5.6%","8.1%","23.6%","10.7%","4.4%","6.5%","402,747","6.9%","7.0%","14.0%","13.0%","16.0%","18.5%","11.7%","8.9%","2.3%","1.8%","(X)",NA,50799,"",19973392
"161",2014,"North Carolina","Percent","7,526,813","64.0%","54.9%","8.0%","1.2%","36.0%",12.7,"3,914,320","58.6%","51.3%","1.4%","6.9%","12.4%","3.0%","12.0%","4.2%","1.7%","6.4%","9.5%","23.4%","9.2%","5.0%","4.9%","3,670,859","9.0%","6.9%","12.6%","12.1%","15.6%","18.4%","10.8%","9.0%","2.9%","2.7%","(X)",NA,562442,"",19973392
"162",2014,"North Carolina","Estimate","7,526,813","4,814,286","4,128,576","598,546","87,164","2,712,527",NA,"3,914,320","2,295,578","2,009,257","56,702","282,976","512,182","125,061","494,942","175,365","69,718","262,272","392,478","966,668","381,825","207,905","200,482","3,670,859","329,158","253,856","462,594","444,564","574,202","674,989","396,069","332,045","105,589","97,793","43,326",59053,562442,"Below",19973392
"163",2014,"Maryland","Estimate","4,596,659","3,193,408","2,886,015","278,125","29,268","1,403,251",NA,"2,403,884","1,570,193","1,437,441","13,305","197,004","153,181","56,464","276,294","120,527","69,232","184,812","425,146","673,692","224,857","154,441","337,060","2,127,439","117,663","74,081","154,269","167,907","244,185","387,568","286,645","371,681","167,050","156,390","68,854",89563,364225,"Above",19973392
"164",2014,"Maryland","Percent","4,596,659","69.5%","62.8%","6.1%","0.6%","30.5%",8.8,"2,403,884","65.3%","59.8%","0.5%","6.8%","5.3%","2.0%","9.6%","4.2%","2.4%","6.4%","14.7%","23.3%","7.8%","5.4%","11.7%","2,127,439","5.5%","3.5%","7.3%","7.9%","11.5%","18.2%","13.5%","17.5%","7.9%","7.4%","(X)",NA,364225,"",19973392
"165",2014,"Washington","Estimate","5,342,873","3,489,044","3,070,269","370,226","48,549","1,853,829",NA,"2,703,960","1,617,309","1,454,622","81,390","188,012","326,181","94,602","363,049","151,294","68,135","173,666","366,473","664,754","264,266","150,139","178,308","2,606,863","170,751","117,568","259,963","259,214","362,172","508,550","351,147","355,519","123,679","98,300","55,631",71739,364844,"Above",19973392
"166",2014,"Washington","Percent","5,342,873","65.3%","57.5%","6.9%","0.9%","34.7%",10.8,"2,703,960","59.8%","53.8%","2.7%","6.1%","10.6%","3.1%","11.8%","4.9%","2.2%","5.7%","11.9%","21.7%","8.6%","4.9%","5.8%","2,606,863","6.6%","4.5%","10.0%","9.9%","13.9%","19.5%","13.5%","13.6%","4.7%","3.8%","(X)",NA,364844,"",19973392
"167",2014,"North Dakota","Estimate","541,407","381,818","362,895","14,710","4,213","159,589",NA,"267,497","178,379","171,364","30,803","27,156","26,192","12,272","40,349","17,186","6,057","20,980","23,563","89,835","31,044","18,156","19,302","280,412","21,561","17,023","31,945","31,817","40,842","55,630","37,583","30,858","7,051","6,102","48,670",61289,53834,"Below",19973392
"168",2014,"North Dakota","Percent","541,407","70.5%","67.0%","2.7%","0.8%","29.5%",3.9,"267,497","66.7%","64.1%","8.5%","7.5%","7.2%","3.4%","11.1%","4.7%","1.7%","5.8%","6.5%","24.8%","8.6%","5.0%","5.3%","280,412","7.7%","6.1%","11.4%","11.3%","14.6%","19.8%","13.4%","11.0%","2.5%","2.2%","(X)",NA,53834,"",19973392
"169",2014,"Massachusetts","Percent","5,313,877","67.7%","60.7%","6.9%","0.1%","32.3%",10.2,"2,778,379","63.0%","57.4%","0.4%","5.3%","9.3%","2.5%","10.9%","3.7%","2.6%","7.6%","13.0%","27.7%","8.3%","4.5%","4.2%","2,520,419","7.4%","5.3%","8.9%","8.0%","11.4%","17.0%","12.8%","16.0%","6.6%","6.6%","(X)",NA,510512,"",19973392
"170",2014,"Massachusetts","Estimate","5,313,877","3,595,428","3,225,103","365,805","4,520","1,718,449",NA,"2,778,379","1,750,302","1,594,522","12,994","171,734","301,164","80,740","350,274","118,244","84,639","243,990","419,757","894,367","267,807","144,681","134,712","2,520,419","185,397","133,225","223,902","201,880","288,080","429,339","323,455","403,171","165,224","166,746","62,072",84005,510512,"Above",19973392
"171",2014,"West Virginia","Estimate","1,513,633","822,345","746,844","73,223","2,278","691,288",NA,"775,198","383,633","355,700","40,019","49,407","57,522","14,903","92,759","40,937","13,297","30,219","57,248","205,103","66,691","33,326","45,413","741,940","76,841","60,109","114,005","93,909","114,129","129,608","75,342","55,693","11,837","10,467","38,218",50574,150897,"Below",19973392
"172",2014,"West Virginia","Percent","1,513,633","54.3%","49.3%","4.8%","0.2%","45.7%",8.9,"775,198","49.5%","45.9%","5.4%","6.6%","7.7%","2.0%","12.4%","5.5%","1.8%","4.0%","7.7%","27.5%","8.9%","4.5%","6.1%","741,940","10.4%","8.1%","15.4%","12.7%","15.4%","17.5%","10.2%","7.5%","1.6%","1.4%","(X)",NA,150897,"",19973392
"173",2014,"Ohio","Percent","9,136,211","64.1%","56.7%","7.3%","0.1%","35.9%",11.4,"4,732,567","59.7%","53.7%","0.9%","5.1%","15.0%","2.8%","12.0%","4.8%","1.8%","6.4%","8.9%","24.7%","8.7%","4.6%","4.2%","4,525,066","8.5%","6.2%","12.7%","11.7%","15.3%","18.8%","11.5%","10.0%","2.9%","2.4%","(X)",NA,664623,"",19973392
"174",2014,"Ohio","Estimate","9,136,211","5,856,411","5,176,890","668,021","11,500","3,279,800",NA,"4,732,567","2,823,264","2,541,915","47,275","264,104","774,572","144,213","620,988","248,635","91,586","332,717","461,343","1,281,076","451,386","239,837","219,158","4,525,066","385,912","279,435","576,149","530,647","692,036","849,551","520,458","451,503","130,732","108,643","45,090",59654,664623,"Below",19973392
"175",2014,"Michigan","Estimate","7,833,379","4,874,698","4,137,510","733,164","4,024","2,958,681",NA,"4,029,342","2,353,249","2,039,101","57,270","195,862","676,004","106,597","488,999","172,037","67,154","233,633","365,253","1,016,534","391,003","203,828","163,336","3,806,621","320,953","237,074","489,200","436,343","583,142","719,773","427,891","382,961","118,836","90,448","45,413",59772,601462,"Below",19973392
"176",2014,"Michigan","Percent","7,833,379","62.2%","52.8%","9.4%","0.1%","37.8%",15.1,"4,029,342","58.4%","50.6%","1.4%","4.7%","16.3%","2.6%","11.8%","4.2%","1.6%","5.6%","8.8%","24.6%","9.5%","4.9%","3.9%","3,806,621","8.4%","6.2%","12.9%","11.5%","15.3%","18.9%","11.2%","10.1%","3.1%","2.4%","(X)",NA,601462,"",19973392
"177",2014,"Wisconsin","Estimate","4,511,968","3,083,811","2,805,102","275,359","3,350","1,428,157",NA,"2,289,835","1,481,585","1,368,280","70,599","150,622","501,176","80,592","324,308","124,762","47,418","169,750","222,953","645,576","254,082","111,412","101,852","2,279,532","143,642","131,222","275,041","261,412","347,038","456,952","292,914","251,263","66,454","53,594","49,001",62376,350255,"Below",19973392
"178",2014,"Wisconsin","Percent","4,511,968","68.3%","62.2%","6.1%","0.1%","31.7%",8.9,"2,289,835","64.7%","59.8%","2.5%","5.4%","17.9%","2.9%","11.6%","4.4%","1.7%","6.1%","7.9%","23.0%","9.1%","4.0%","3.6%","2,279,532","6.3%","5.8%","12.1%","11.5%","15.2%","20.0%","12.8%","11.0%","2.9%","2.4%","(X)",NA,350255,"",19973392
"179",2014,"Oklahoma","Estimate","2,930,683","1,835,188","1,666,604","148,418","20,166","1,095,495",NA,"1,496,583","854,021","784,922","73,382","115,736","158,890","47,784","192,208","85,505","34,090","101,266","126,549","383,820","156,731","86,184","104,459","1,432,959","122,997","101,017","191,388","178,774","227,606","272,317","148,974","123,163","35,853","30,870","42,072",56533,211117,"Below",19973392
"180",2014,"Oklahoma","Percent","2,930,683","62.6%","56.9%","5.1%","0.7%","37.4%",8.2,"1,496,583","57.1%","52.4%","4.4%","6.9%","9.5%","2.9%","11.5%","5.1%","2.0%","6.1%","7.6%","23.0%","9.4%","5.2%","6.3%","1,432,959","8.6%","7.0%","13.4%","12.5%","15.9%","19.0%","10.4%","8.6%","2.5%","2.2%","(X)",NA,211117,"",19973392
"181",2014,"Minnesota","Percent","4,175,262","70.4%","64.5%","5.9%","0.1%","29.6%",8.3,"2,119,967","66.5%","61.9%","2.4%","5.4%","13.5%","2.9%","11.8%","4.3%","1.9%","7.0%","9.4%","25.1%","8.2%","4.5%","3.6%","2,091,548","5.9%","5.1%","10.1%","10.1%","13.9%","19.7%","13.8%","13.3%","4.5%","3.6%","(X)",NA,430466,"",19973392
"182",2014,"Minnesota","Estimate","4,175,262","2,940,461","2,693,645","244,632","2,184","1,234,801",NA,"2,119,967","1,410,309","1,312,259","65,686","145,820","363,395","78,639","316,547","116,324","52,100","188,303","252,280","677,107","219,610","119,891","97,943","2,091,548","123,174","106,991","211,450","210,268","290,148","412,685","289,660","278,005","93,242","75,925","55,459",71345,430466,"Above",19973392
"183",2014,"Wyoming","Estimate","442,306","302,113","280,614","18,779","2,720","140,193",NA,"217,295","135,071","126,578","33,228","22,103","13,954","5,483","32,354","16,631","3,878","10,732","18,227","65,643","25,932","12,522","19,927","222,803","13,398","12,528","22,550","22,559","31,146","46,739","30,512","29,263","8,436","5,672","53,512",66710,34205,"Above",19973392
"184",2014,"Wyoming","Percent","442,306","68.3%","63.4%","4.2%","0.6%","31.7%",6.3,"217,295","62.2%","58.3%","11.8%","7.9%","5.0%","2.0%","11.5%","5.9%","1.4%","3.8%","6.5%","23.4%","9.2%","4.5%","7.1%","222,803","6.0%","5.6%","10.1%","10.1%","14.0%","21.0%","13.7%","13.1%","3.8%","2.5%","(X)",NA,34205,"",19973392
"185",2014,"Oregon","Percent","3,071,969","63.5%","55.4%","8.1%","0.1%","36.5%",12.7,"1,566,275","59.1%","52.7%","3.4%","5.6%","10.6%","3.0%","12.3%","4.2%","1.9%","6.2%","9.9%","22.9%","9.4%","5.2%","5.2%","1,507,137","7.8%","6.0%","12.0%","11.8%","15.5%","18.9%","11.5%","10.6%","3.1%","2.7%","(X)",NA,240649,"",19973392
"186",2014,"Oregon","Estimate","3,071,969","1,952,123","1,701,473","247,412","3,238","1,119,846",NA,"1,566,275","925,335","826,165","58,077","94,980","180,865","51,208","209,682","72,283","32,936","105,136","169,144","390,280","160,239","88,204","88,439","1,507,137","118,189","90,857","181,041","177,254","234,029","284,572","173,023","160,509","47,234","40,429","46,560",61552,240649,"Below",19973392
"187",2014,"Utah","Estimate","1,987,748","1,359,360","1,229,064","126,342","3,954","628,388",NA,"996,631","599,593","544,296","25,032","79,000","133,863","37,119","155,516","54,960","26,629","79,502","134,288","271,997","103,731","55,755","71,672","880,025","46,234","38,578","90,153","87,758","134,012","194,256","120,799","114,508","28,720","25,007","54,744",68176,292995,"Above",19973392
"188",2014,"Utah","Percent","1,987,748","68.4%","61.8%","6.4%","0.2%","31.6%",9.3,"996,631","60.2%","54.6%","2.0%","6.4%","10.9%","3.0%","12.7%","4.5%","2.2%","6.5%","10.9%","22.1%","8.4%","4.5%","5.8%","880,025","5.3%","4.4%","10.2%","10.0%","15.2%","22.1%","13.7%","13.0%","3.3%","2.8%","(X)",NA,292995,"",19973392
"189",2014,"Tennessee","Estimate","5,025,830","3,094,338","2,734,829","346,693","12,816","1,931,492",NA,"2,610,788","1,473,480","1,317,232","30,024","186,124","341,051","77,615","336,366","165,000","54,271","156,129","251,081","630,837","243,994","133,456","128,881","2,440,663","230,207","179,881","325,916","303,519","378,370","443,178","247,578","209,150","60,928","61,936","41,461",56835,323869,"Below",19973392
"190",2014,"South Carolina","Estimate","3,675,309","2,275,141","1,955,035","286,053","34,053","1,400,168",NA,"1,909,541","1,099,607","960,071","21,139","134,301","256,325","54,216","242,013","90,874","33,392","114,777","181,572","437,403","193,191","92,571","103,261","1,761,393","169,979","123,016","245,336","208,618","266,596","320,427","188,967","156,388","44,342","37,724","42,018",56365,249655,"Below",19973392
"191",2014,"Pennsylvania","Estimate","10,273,564","6,470,008","5,842,790","620,700","6,518","3,803,556",NA,"5,326,204","3,096,344","2,828,506","78,462","339,007","714,137","166,422","689,555","296,880","105,315","372,922","556,189","1,525,278","479,177","271,836","247,610","4,936,030","374,479","298,360","578,999","547,713","695,698","929,066","590,446","563,870","189,901","167,498","49,288",65878,736163,"Below",19973392
"192",2014,"Pennsylvania","Percent","10,273,564","63.0%","56.9%","6.0%","0.1%","37.0%",9.6,"5,326,204","58.1%","53.1%","1.3%","5.8%","12.2%","2.8%","11.8%","5.1%","1.8%","6.4%","9.5%","26.1%","8.2%","4.7%","4.2%","4,936,030","7.6%","6.0%","11.7%","11.1%","14.1%","18.8%","12.0%","11.4%","3.8%","3.4%","(X)",NA,736163,"",19973392
"193",2014,"Vermont","Percent","513,553","68.4%","62.8%","5.5%","0.1%","31.6%",8.1,"263,422","64.9%","60.1%","2.7%","6.8%","10.4%","2.1%","12.2%","3.0%","1.6%","4.7%","9.1%","27.6%","10.1%","4.7%","5.0%","256,922","7.1%","6.2%","11.7%","10.9%","14.6%","19.9%","12.8%","10.6%","3.5%","2.8%","(X)",NA,43865,"",19973392
"194",2014,"Vermont","Estimate","513,553","351,332","322,432","28,397","503","162,221",NA,"263,422","171,089","158,224","8,753","21,830","33,484","6,865","39,223","9,795","5,145","15,303","29,406","89,040","32,562","15,054","15,972","256,922","18,357","15,868","30,049","27,897","37,511","51,005","32,931","27,304","8,898","7,102","49,406",63768,43865,"Below",19973392
"195",2014,"Texas","Percent","19,123,208","65.2%","58.9%","5.7%","0.5%","34.8%",8.8,"9,727,271","58.7%","53.4%","2.9%","8.0%","9.3%","2.9%","11.5%","5.5%","1.9%","6.6%","10.8%","21.8%","8.6%","5.3%","4.8%","8,738,664","7.8%","5.9%","11.8%","11.2%","14.4%","18.2%","11.4%","11.5%","4.0%","3.8%","(X)",NA,1579614,"",19973392
"196",2014,"South Dakota","Percent","637,449","68.9%","64.2%","4.1%","0.6%","31.1%",6,"320,682","64.6%","61.1%","7.1%","5.9%","9.5%","2.6%","11.3%","4.2%","1.6%","7.8%","6.2%","24.9%","9.5%","4.1%","5.3%","318,955","7.9%","6.2%","11.6%","13.1%","15.0%","19.9%","12.3%","9.8%","2.1%","2.3%","(X)",NA,53664,"",19973392
"197",2014,"Rhode Island","Percent","858,137","64.6%","57.2%","7.0%","0.4%","35.4%",10.9,"450,911","61.2%","55.3%","0.3%","4.9%","11.6%","2.7%","12.8%","3.5%","1.8%","7.1%","9.4%","26.0%","11.0%","4.1%","4.9%","402,295","8.5%","5.8%","11.0%","9.7%","12.6%","18.3%","12.8%","12.7%","4.8%","3.9%","(X)",NA,82292,"",19973392
"198",2014,"Rhode Island","Estimate","858,137","554,225","490,964","60,050","3,211","303,912",NA,"450,911","276,024","249,571","1,266","24,242","56,778","13,193","62,794","17,232","8,616","34,819","46,298","127,846","53,762","20,103","24,015","402,295","34,057","23,290","44,095","38,932","50,863","73,453","51,647","51,221","19,132","15,605","52,254",69840,82292,"Above",19973392
"199",2014,"Virginia","Estimate","6,385,834","4,256,506","3,814,199","327,706","114,601","2,129,328",NA,"3,282,720","2,029,658","1,863,277","43,462","250,997","294,075","78,185","412,990","148,999","84,089","247,653","552,907","804,003","325,747","198,882","372,210","2,992,732","178,033","131,303","273,394","272,184","395,692","532,552","376,770","448,808","194,200","189,796","60,674",81608,569752,"Above",19973392
"200",2014,"Virginia","Percent","6,385,834","66.7%","59.7%","5.1%","1.8%","33.3%",7.9,"3,282,720","61.8%","56.8%","1.1%","6.6%","7.7%","2.0%","10.8%","3.9%","2.2%","6.5%","14.5%","21.1%","8.5%","5.2%","9.8%","2,992,732","5.9%","4.4%","9.1%","9.1%","13.2%","17.8%","12.6%","15.0%","6.5%","6.3%","(X)",NA,569752,"",19973392
"201",2014,"Texas","Estimate","19,123,208","12,465,332","11,271,851","1,091,761","101,720","6,657,876",NA,"9,727,271","5,706,071","5,195,474","327,887","898,282","1,052,942","329,452","1,301,633","615,306","212,821","747,962","1,211,727","2,459,381","974,282","601,945","538,231","8,738,664","680,357","518,071","1,028,161","976,781","1,258,450","1,589,401","999,301","1,003,440","352,139","332,563","48,615",66756,1579614,"Above",19973392
"202",2014,"South Dakota","Estimate","637,449","438,977","409,194","26,258","3,525","198,472",NA,"320,682","207,104","195,990","29,152","24,034","38,871","10,714","46,123","17,276","6,460","31,922","25,346","101,900","39,071","16,769","21,556","318,955","25,155","19,928","36,969","41,648","47,771","63,352","39,233","31,115","6,587","7,197","45,904",59391,53664,"Below",19973392
"203",2014,"Tennessee","Percent","5,025,830","61.6%","54.4%","6.9%","0.3%","38.4%",11.3,"2,610,788","56.4%","50.5%","1.1%","6.8%","12.5%","2.8%","12.3%","6.0%","2.0%","5.7%","9.2%","23.1%","8.9%","4.9%","4.7%","2,440,663","9.4%","7.4%","13.4%","12.4%","15.5%","18.2%","10.1%","8.6%","2.5%","2.5%","(X)",NA,323869,"",19973392
"204",2014,"South Carolina","Percent","3,675,309","61.9%","53.2%","7.8%","0.9%","38.1%",12.8,"1,909,541","57.6%","50.3%","1.1%","6.9%","13.1%","2.8%","12.4%","4.6%","1.7%","5.9%","9.3%","22.4%","9.9%","4.7%","5.3%","1,761,393","9.7%","7.0%","13.9%","11.8%","15.1%","18.2%","10.7%","8.9%","2.5%","2.1%","(X)",NA,249655,"",19973392
"205",2018,"Connecticut","Estimate","2,933,506","1,936,101","1,822,551","106,371","7,179","997,405",NA,"1,517,726","935,717","886,070","8,346","111,277","193,491","42,558","197,200","79,814","36,810","161,050","211,138","473,504","153,140","91,005","63,218","1,378,091","73,192","53,662","99,514","98,957","138,645","213,918","168,673","232,273","128,226","171,031","76,348",111303,197236,"Above",19635889
"206",2018,"California","Estimate","31,575,203","20,169,143","18,930,012","1,108,664","130,467","11,406,060",NA,"15,983,340","9,258,925","8,718,141","434,183","1,244,438","1,675,905","522,242","1,969,641","1,052,441","539,066","1,116,445","2,601,900","3,952,559","1,990,269","1,000,458","830,465","13,072,122","670,677","515,804","976,209","943,783","1,362,459","2,044,663","1,601,641","2,176,125","1,166,279","1,614,482","75,277",107384,2723547,"Above",19635889
